id;nom;ligne;terminus;zone
0000;Abbesses;12;False 0;0
0001;Alexandre Dumas;2;False 0;0
0002;Alma Marceau;9;False 0;0
0003;Alésia;4;False 0;0
0004;Anatole France;3;False 0;0
0005;Anvers;2;False 0;0
0006;Argentine;1;False 0;0
0007;Arts et Métiers;11;False 0;0
0008;Arts et Métiers;3;False 0;0
0009;Assemblée Nationale;12;False 0;0
0010;Aubervilliers-Pantin, Quatre Chemins;7;False 0;0
0011;Avenue Émile Zola;10;False 0;0
0012;Avron;2;False 0;0
0013;Barbès Rochechouart;2;False 0;0
0014;Barbès Rochechouart;4;False 0;0
0015;Basilique de Saint-Denis;13;False 1;0
0016;Bastille;1;False 0;0
0017;Bastille;5;False 0;0
0018;Bastille;8;False 0;0
0019;Bel Air;6;False 0;0
0020;Belleville;11;False 0;0
0021;Belleville;2;False 0;0
0022;Bercy;14;False 0;0
0023;Bercy;6;False 0;0
0024;Bibliothèque François Mitterand;14;True 0;0
0025;Billancourt;9;False 0;0
0026;Bir-Hakeim;6;False 0;0
0027;Blanche;2;False 0;0
0028;Bobigny, Pablo Picasso;5;True 0;0
0029;Bobigny-Pantin, Raymond Queneau;5;False 0;0
0030;Boissière;6;False 0;0
0031;Bolivar;7bis;False 0;0
0032;Bonne Nouvelle;8;False 0;0
0033;Bonne Nouvelle;9;False 0;0
0034;Botzaris;7bis;False 0;0
0035;Boucicaut;8;False 0;0
0036;Boulogne, Jean Jaurès;10;False 0;0
0037;Boulogne, Pont de Saint-Cloud, Rond Point Rhin et Danube;10;True 0;0
0038;Bourse;3;False 0;0
0039;Brochant;13;False 2;0
0040;Bréguet-Sabin;5;False 0;0
0041;Buttes Chaumont;7bis;False 0;0
0042;Buzenval;9;False 0;0
0043;Bérault;1;False 0;0
0044;Cadet;7;False 0;0
0045;Cambronne;6;False 0;0
0046;Campo-Formio;5;False 0;0
0047;Cardinal Lemoine;10;False 0;0
0048;Carrefour Pleyel;13;False 1;0
0049;Censier Daubenton;7;False 0;0
0050;Champs Élysées, Clémenceau;1;False 0;0
0051;Champs Élysées, Clémenceau;13;False 0;0
0052;Chardon Lagâche;10;False 0;0
0053;Charenton-Écoles;8;False 0;0
0054;Charles Michels;10;False 0;0
0055;Charles de Gaulle, Étoile;1;False  0;0
0056;Charles de Gaulle, Étoile;2;False 0;0
0057;Charles de Gaulle, Étoile;6;True 0;0
0058;Charonne;9;False 0;0
0059;Chaussée d'Antin, La Fayette;7;False  0;0
0060;Chaussée d'Antin, La Fayette;9;False 0;0
0061;Chemin Vert;8;False 0;0
0062;Chevaleret;6;False 0;0
0063;Château Landon;7;False 0;0
0064;Château Rouge;4;False 0;0
0065;Château d'Eau;4;False 0;0
0066;Château de Vincennes;1;True 0;0
0067;Châtelet;1;False 0;0
0068;Châtelet;11;True 0;0
0069;Châtelet;14;False 0;0
0070;Châtelet;4;False 0;0
0071;Châtelet;7;False 0;0
0072;Châtillon-Montrouge;13;True 0;0
0073;Cité;4;False 0;0
0074;Cluny, La Sorbonne;10;False 0;0
0075;Colonel Fabien;2;False 0;0
0076;Commerce;8;False 0;0
0077;Concorde;1;False 0;0
0078;Concorde;12;False 0;0
0079;Concorde;8;False 0;0
0080;Convention;12;False 0;0
0081;Corentin Celton;12;False 0;0
0082;Corentin-Cariou;7;False 0;0
0083;Corvisart;6;False 0;0
0084;Cour Saint-Émilion;14;False 0;0
0085;Courcelles;2;False 0;0
0086;Couronnes;2;False 0;0
0087;Crimée;7;False 0;0
0088;Croix de Chavaux;9;False 0;0
0089;Créteil-Préfecture;8;True 0;0
0090;Créteil-Université;8;False 0;0
0091;Créteil-l'Echat, Hôpital Henri Mondor;8;False 0;0
0092;Danube;7bis;False 0;0
0093;Daumesnil;6;False 0;0
0094;Daumesnil;8;False 0;0
0095;Denfert Rochereau;4;False 0;0
0096;Denfert Rochereau;6;False 0;0
0097;Dugommier;6;False 0;0
0098;Dupleix;6;False 0;0
0099;Duroc;10;False 0;0
0100;Duroc;13;False 0;0
0101;Edgar Quinet;6;False 0;0
0102;Esplanade de la Défense;1;False 0;0
0103;Europe;3;False 0;0
0104;Exelmans;9;False 0;0
0105;Faidherbe-Chaligny;8;False 0;0
0106;Falguière;12;False 0;0
0107;Filles du Calvaire;8;False 0;0
0108;Fort d'Aubervilliers;7;False 0;0
0109;Franklin D. Roosevelt;1;False 0;0
0110;Franklin D. Roosevelt;9;False 0;0
0111;Félix Faure;8;False 0;0
0112;Gabriel Péri, Asnières-Gennevilliers;13;True 2;0
0113;Gaité;13;False 0;0
0114;Galliéni;3;True 0;0
0115;Gambetta;3;False 0;0
0116;Gambetta;3bis;True 0;0
0117;Gare d'Austerlitz;10;True 0;0
0118;Gare d'Austerlitz;5;False 0;0
0119;Gare de Lyon;1;False 0;0
0120;Gare de Lyon;14;False 0;0
0121;Gare de l'Est;4;False 0;0
0122;Gare de l'Est;5;False 0;0
0123;Gare de l'Est;7;False 0;0
0124;Gare du Nord;4;False 0;0
0125;Gare du Nord;5;False 0;0
0126;Garibaldi;13;False 1;0
0127;George V;1;False 0;0
0128;Glacière;6;False 0;0
0129;Goncourt;11;False 0;0
0130;Grande Arche de la Défense;1;True 0;0
